작목,병해충코드,병해충,농약 상표명
콩,D001,들불병,단단애
콩,D001,들불병,명품탄
콩,D001,들불병,올래들
콩,D001,들불병,우승탄
콩,D001,들불병,배차엔진품
콩,D001,들불병,영일스마트
콩,D001,들불병,성보싸이클린
콩,D002,불마름병,명품탄
콩,D002,불마름병,방범대
콩,D002,불마름병,엠블런
콩,D002,불마름병,용마루
콩,D002,불마름병,티비앙
콩,D002,불마름병,한누내
콩,D002,불마름병,무룸멘다
콩,D002,불마름병,네오보르도
콩,D002,불마름병,배차엔진품
콩,D002,불마름병,영일스마트
콩,D002,불마름병,옥싸이클린
콩,D002,불마름병,젠토마이신
콩,D002,불마름병,성보싸이클린
콩,D002,불마름병,스타나마이신
콩,D002,불마름병,아그리마이신
콩,D002,불마름병,에스지세균박사
콩,D003,세균점무늬병,단단애
콩,D003,세균점무늬병,올래들
콩,D003,세균점무늬병,우승탄
콩,D003,세균점무늬병,영일스마트
콩,D003,세균점무늬병,성보싸이클린
콩,D006,톱다리개미허리노린재,로건
콩,D006,톱다리개미허리노린재,박빙
콩,D006,톱다리개미허리노린재,샷건
콩,D006,톱다리개미허리노린재,엣지
콩,D006,톱다리개미허리노린재,주렁
콩,D006,톱다리개미허리노린재,첨병
콩,D006,톱다리개미허리노린재,캡처
콩,D006,톱다리개미허리노린재,콘돌
콩,D006,톱다리개미허리노린재,판듀
콩,D006,톱다리개미허리노린재,팬텀
콩,D006,톱다리개미허리노린재,강써브
콩,D006,톱다리개미허리노린재,데시스
콩,D006,톱다리개미허리노린재,돌격대
콩,D006,톱다리개미허리노린재,라피탄
콩,D006,톱다리개미허리노린재,리모트
콩,D006,톱다리개미허리노린재,만루포
콩,D006,톱다리개미허리노린재,매트릭
콩,D006,톱다리개미허리노린재,메가줄
콩,D006,톱다리개미허리노린재,메이저
콩,D006,톱다리개미허리노린재,살리미
콩,D006,톱다리개미허리노린재,서티스
콩,D006,톱다리개미허리노린재,선발대
콩,D006,톱다리개미허리노린재,에포킬
콩,D006,톱다리개미허리노린재,에프롤
콩,D006,톱다리개미허리노린재,요절충
콩,D006,톱다리개미허리노린재,젠토런
콩,D006,톱다리개미허리노린재,직격탄
콩,D006,톱다리개미허리노린재,참수리
콩,D006,톱다리개미허리노린재,충장군
콩,D006,톱다리개미허리노린재,충졸라
콩,D006,톱다리개미허리노린재,쾌속탄
콩,D006,톱다리개미허리노린재,타스타
콩,D006,톱다리개미허리노린재,타키온
콩,D006,톱다리개미허리노린재,패키지
콩,D006,톱다리개미허리노린재,프리즈
콩,D006,톱다리개미허리노린재,헬리캅
콩,D006,톱다리개미허리노린재,효자손
콩,D006,톱다리개미허리노린재,희소식
콩,D006,톱다리개미허리노린재,깍지치온
콩,D006,톱다리개미허리노린재,듀얼타겟
콩,D006,톱다리개미허리노린재,백만장자
콩,D006,톱다리개미허리노린재,선제타격
콩,D006,톱다리개미허리노린재,썬쿠르즈
콩,D006,톱다리개미허리노린재,아나콘다
콩,D006,톱다리개미허리노린재,에어로드
콩,D006,톱다리개미허리노린재,유토피아
콩,D006,톱다리개미허리노린재,인시피오
콩,D006,톱다리개미허리노린재,절대강자
콩,D006,톱다리개미허리노린재,제갈공명
콩,D006,톱다리개미허리노린재,천하평정
콩,D006,톱다리개미허리노린재,청출어람
콩,D006,톱다리개미허리노린재,충스타일
콩,D006,톱다리개미허리노린재,킹스타일
콩,D006,톱다리개미허리노린재,프라우스
콩,D006,톱다리개미허리노린재,프레톡스
콩,D006,톱다리개미허리노린재,하이캇트
콩,D006,톱다리개미허리노린재,나방노린채
콩,D006,톱다리개미허리노린재,스트레이트
콩,D006,톱다리개미허리노린재,젠토충패스
콩,D006,톱다리개미허리노린재,다이몬파스트
콩,D006,톱다리개미허리노린재,에스지블루밍
콩,D006,톱다리개미허리노린재,젠토충케이오
콩,D006,톱다리개미허리노린재,동방아그로디아블로
콩,D006,톱다리개미허리노린재,신기록-D
벼,D004,세균성벼알마름병,빔
벼,D004,세균성벼알마름병,노을
벼,D004,세균성벼알마름병,달인
벼,D004,세균성벼알마름병,들판
벼,D004,세균성벼알마름병,루틴
벼,D004,세균성벼알마름병,만방
벼,D004,세균성벼알마름병,명궁
벼,D004,세균성벼알마름병,명물
벼,D004,세균성벼알마름병,클릭
벼,D004,세균성벼알마름병,투샷
벼,D004,세균성벼알마름병,가드너
벼,D004,세균성벼알마름병,가야빔
벼,D004,세균성벼알마름병,골드미
벼,D004,세균성벼알마름병,골든벨
벼,D004,세균성벼알마름병,균메카
벼,D004,세균성벼알마름병,꼼꼬미
벼,D004,세균성벼알마름병,나타나
벼,D004,세균성벼알마름병,넘보원
벼,D004,세균성벼알마름병,논가드
벼,D004,세균성벼알마름병,논브라
벼,D004,세균성벼알마름병,논사랑
벼,D004,세균성벼알마름병,논카바
벼,D004,세균성벼알마름병,누비라
벼,D004,세균성벼알마름병,다드림
벼,D004,세균성벼알마름병,다사랑
벼,D004,세균성벼알마름병,도드미
벼,D004,세균성벼알마름병,도사빔
벼,D004,세균성벼알마름병,레이다
벼,D004,세균성벼알마름병,만만세
벼,D004,세균성벼알마름병,방범대
벼,D004,세균성벼알마름병,벼천왕
벼,D004,세균성벼알마름병,벼클린
벼,D004,세균성벼알마름병,비치나
벼,D004,세균성벼알마름병,솔라자
벼,D004,세균성벼알마름병,쉴드론
벼,D004,세균성벼알마름병,시금석
벼,D004,세균성벼알마름병,신호탄
벼,D004,세균성벼알마름병,아무러
벼,D004,세균성벼알마름병,엘리고
벼,D004,세균성벼알마름병,여의봉
벼,D004,세균성벼알마름병,오호라
벼,D004,세균성벼알마름병,올크린
벼,D004,세균성벼알마름병,위드왕
벼,D004,세균성벼알마름병,유원빔
벼,D004,세균성벼알마름병,유일빔
벼,D004,세균성벼알마름병,케블라
벼,D004,세균성벼알마름병,폭격기
벼,D004,세균성벼알마름병,하이팜
벼,D004,세균성벼알마름병,헬리건
벼,D004,세균성벼알마름병,휘파람
벼,D004,세균성벼알마름병,가스가민
벼,D004,세균성벼알마름병,규네스타
